Era,Validator,EraPoints,TotalStake,OwnStake,NominatedStake,NomCount,PageCount,CommissionRate,Blocked,CommissionEarned,OwnReward,TotalReward
24,5G8ovoDUebMfSFTfLg9GvnGa2KyrSaUbEJR9QEdaHmgKwPKy,960,113039.02579252174397706,113039.02579252174397706,0E-17,0,0,0.05,False,154.898980116989870182488962655,2943.08062222280736149487607360,3097.97960233979723167736503626
24,5HR1vD9TkqkorYxdiTJ2CpEYmwbep7gjAMb1s9nNfy9UbSff,780,112539.72567859433296632,112539.72567859433296632,0E-17,0,0,0.01,False,25.1710842690108542341003085362,2491.93734263207451677808558839,2517.10842690108537101218589693
24,5FxUF3k3dcLE1npiWgxEjUkv3zUA4QgfQJiAm5AeMrd8Y8KW,760,112269.63678792754320984,112269.63678792754320984,0E-17,0,0,0.06,False,147.154031111140358247908650157,2305.41315407453236998045413357,2452.56718518567272822836278373
24,5CVLYEzRxT7E67658uF2UhoeXAbbZYNiSHtdPsw2KtBwmbRY,740,112038.02556411913838688,102038.02328238303168906,10000.00228173610669782,1,1,0.01,False,23.8802594347026013515531565507,2153.13284160392982252379126258,2177.01310103863242387534441913
24,5D5dTdfs3d3fpn4DSUC6fE269b4kgVbdcrVsXuJ2XSmm96i6,900,110166.30334204582233312,110166.30334204582233312,0E-17,0,0,0.1,False,290.435587719355994564734124480,2613.92028947420378985846879204,2904.35587719355978442320291652
24,5HpS9MnYR4QRTFPjJ1K3tgiEuhjnbiHdvFH7eZb1nd9Svz7C,800,109546.87738904820533868,109546.87738904820533868,0E-17,0,0,0.01,False,25.8164966861649758644008123301,2555.83317193033255683430097792,2581.64966861649753269870179025
24,5DZUvVsx7wRn4MdCp4wmGiPxocRmgp5JMaHxeQ67eJB7BAqe,700,109486.03240756744058826,109486.03240756744058826,0E-17,0,0,0.05,False,112.947173001971770318537634855,2145.99628703746351065566302914,2258.94346003943528097420066400
24,5DU3Xx6y8uXZuQaR1mq5WyX2STqyncbzvswtMekYCTsV4VUd,780,109000.02487092829098522,109000.02487092829098522,0E-17,0,0,0.01,False,25.1710842690108542341003085362,2491.93734263207451677808558839,2517.10842690108537101218589693
24,5DcYqqXJ1Vx4hMCFiKJHkvQLQRAb7sN4FafEfLkMzAAU6BDT,740,108947.63727706646476614,108947.63727706646476614,0E-17,0,0,0.01,False,23.8802594347026013515531565507,2364.14568403555748409298651397,2388.02594347026008544453967052
24,5FxhfzVm7Dcckz12G28NzwKZSKti5sznUXVxBDG9FwatxrLa,840,108703.25757549357552282,108703.25757549357552282,0E-17,0,0,0.01,False,27.1073215204732239359748921168,2683.62483052684911323306590466,2710.73215204732233716904079678
24,5HMhBt8H1V2V4Hp7xxLv3k12mfsLKMp8cjqqhjb4F5QnrdDR,700,108676.50714588561479988,108676.50714588561479988,0E-17,0,0,0.05,False,112.947173001971770318537634855,2145.99628703746351065566302914,2258.94346003943528097420066400
